id,juris,city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME,plandate,Parcel Count,zoning_id
60128,,LIVERMORE,URBAN MEDIUM HIGH RESIDENTIAL,,,6.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,51,60128
60167,,PLEASANTON,BUSINESS PARK (INDUSTRIAL/COMMERCIAL AND OFFICE),0.6,30.0,,,0,0,0,1,1,0,1,1,0,1,1,0,1,1,8/x/x996,3,60167
60172,,PLEASANTON,LOW DENSITY RESIDENTIAL,,30.0,2.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8/x/x996,2,60172
60173,,PLEASANTON,MEDIUM DENSITY RESIDENTIAL,,30.0,8.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8/x/x996,2,60173
60299,,ANTIOCH,A STREET INTERCHANGE,0.4,,,,0,0,0,1,1,0,0,0,0,1,1,0,1,1,x99,15,60299
60323,,BRENTWOOD,BUSINESS OFFICE,1.28,30.0,,,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6/x/x993,2,60323
60327,,BRENTWOOD,HIGH DENSITY RESIDENTIAL,1.8,36.0,16.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6/x/x993,8,60327
60330,,BRENTWOOD,LOW DENSITY RESIDENTIAL,,30.0,3.6,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6/x/x993,1,60330
60331,,BRENTWOOD,MEDIUM DENSITY RESIDENTIAL,0.8,30.0,16.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6/x/x993,334,60331
60340,,BRENTWOOD,THOROUGHFARE COMMERCIAL,,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1,6/x/x993,1,60340
60342,,BRENTWOOD,VERY LOW DENSITY RESIDENTIAL,,30.0,2.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6/x/x993,64,60342
60364,,CONCORD,(LDR) LOW DENSITY RESIDENTIAL,,,10.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre22,21,60364
60368,,CONCORD,(NCC) NEIGHBORHOOD/COMMUNITY COMMERCIAL,0.35,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1,Pre22,1,60368
60371,,CONCORD,(OS) OPEN SPACE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre22,4,60371
60378,,EL CERRITO,COMMERCIAL,3.0,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1,3/x/x999,1,60378
60379,,EL CERRITO,HIGH DENSITY,,,35.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3/x/x999,7,60379
60381,,EL CERRITO,LOW DENSITY,,,5.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3/x/x999,3,60381
60382,,EL CERRITO,MEDIUM DENSITY,,,8.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3/x/x999,1,60382
60427,,MARTINEZ,PUBLIC PERMANENT OPEN SPACE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre22,6,60427
60497,,RICHMOND,HIGH DENSITY RESIDENTIAL,,,43.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Pre22,13,60497
60501,,RICHMOND,LOW DENSITY RESIDENTIAL,,,9.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre22,191,60501
60503,,RICHMOND,MEDIUM DENSITY RESIDENTIAL,,,28.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Pre22,14,60503
60507,,RICHMOND,PRESERVATION/RESOURCE AREAS,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre22,1,60507
60509,,RICHMOND,RECREATION LANDS,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre22,71,60509
60513,,RICHMOND,VERY LOW DENSITY RESIDENTIAL,,,5.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre22,1,60513
60515,,SAN PABLO,COMMERCIAL,1.5,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1,8/x/x996,2,60515
60522,,SAN PABLO,HIGH DENSITY RESIDENTIAL AND COMMERCIAL,,,24.0,,1,1,1,1,1,1,0,0,0,1,1,1,1,1,8/x/x996,1,60522
60530,,SAN PABLO,MEDIUM/HIGH DENSITY RESIDENTIAL AND COMMERCIAL,,,24.0,,1,1,1,1,1,1,0,0,0,1,1,1,1,1,8/x/x996,1,60530
60536,,WALNUT CREEK,DOWNTOWN STREETS AND HIGHWAYS,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3254,2,60536
60547,,WALNUT CREEK,OPEN SPACE/RECREATION,,,0.1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2/x/x989,2,60547
60551,,WALNUT CREEK,SINGLE FAMILY LOW DENSITY RESIDENTIAL,,,3.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2/x/x989,1,60551
60552,,WALNUT CREEK,SINGLE FAMILY MEDIUM DENSITY RESIDENTIAL,,,6.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2/x/x989,5,60552
60668,,CORTE MADERA,HILLSIDE RESIDENTIAL,,30.0,2.2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Post22,1,60668
60773,,SAN RAFAEL,MEDIUM DENSITY RESIDENTIAL,,36.0,15.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,60773
60776,,SAN RAFAEL,OPEN SPACE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,60776
60804,,TIBURON,HIGH DENSITY RESIDENTIAL,,,11.6,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8/5/2x5,1,60804
60832,,UNINCORPORATED MARIN,COASTAL AGRICULTURAL 2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Post22,2,60832
60838,,UNINCORPORATED MARIN,COASTAL GENERAL COMMERCIAL,,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1,Post22,1,60838
60854,,UNINCORPORATED MARIN,COASTAL SINGLE FAMILY 3,,,1.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Post22,1,60854
60858,,UNINCORPORATED MARIN,COASTAL SINGLE FAMILY 4,,,2.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Post22,1,60858
60860,,UNINCORPORATED MARIN,COASTAL SINGLE FAMILY 5,,,1.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Post22,4,60860
60878,,UNINCORPORATED MARIN,MULTI FAMILY 3,,,20.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Post22,1,60878
60885,,UNINCORPORATED MARIN,OPEN SPACE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Post22,1,60885
60894,,UNINCORPORATED MARIN,PUBLIC FACILITY,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Post22,4,60894
60903,,UNINCORPORATED MARIN,PUBLIC FACILITY/SINGLE FAMILY 5,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Post22,1,60903
60916,,UNINCORPORATED MARIN,SINGLE FAMILY 3,,,1.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Post22,4,60916
60922,,UNINCORPORATED MARIN,SINGLE FAMILY 4,,,2.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Post22,2,60922
60928,,UNINCORPORATED MARIN,SINGLE FAMILY 5,,,1.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Post22,2,60928
60947,,UNINCORPORATED MARIN,UNKNOWN,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Post22,52,60947
60948,,UNINCORPORATED MARIN,URBAN AND CONSERVATION RESERVE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Post22,1,60948
60971,,NAPA,SINGLE FAMILY INFILL,,,5.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,x2/x/x998,4,60971
60972,,NAPA,SINGLE FAMILY RESIDENTIAL,,,5.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,x2/x/x998,8,60972
61015,,UNINCORPORATED NAPA,AGRICULTURAL RESOURCE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x/x/x998,1,61015
61016,,UNINCORPORATED NAPA,"AGRICULTURE, WATERSHED & OPEN SPACE",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x/x/x998,62,61016
61018,,UNINCORPORATED NAPA,INDUSTRIAL,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,x/x/x998,19,61018
61021,,UNINCORPORATED NAPA,RURAL RESIDENTIAL,,,1.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,x/x/x998,5,61021
61029,,SAN FRANCISCO,HEAVY COMMERCIAL,,,50.0,,0,1,1,1,1,1,0,0,0,1,1,0,1,1,Pre22,1,61029
61030,,SAN FRANCISCO,HEAVY INDUSTRIAL,,,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,Pre22,5,61030
61032,,SAN FRANCISCO,LIGHT INDUSTRIAL,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Pre22,4,61032
61034,,SAN FRANCISCO,MEDIUM DENSITY RESIDENTIAL,,,50.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Pre22,1,61034
61037,,SAN FRANCISCO,MODERATELY HIGH DENSITY RESIDENTIAL,,,65.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Pre22,1,61037
61038,,SAN FRANCISCO,MODERATELY LOW DENSITY RESIDENTIAL,,,35.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Pre22,2,61038
61040,,SAN FRANCISCO,PARKS/OPEN SPACE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre22,8,61040
61041,,SAN FRANCISCO,PUBLIC/SEMI-PUBLIC,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Pre22,1,61041
61042,,SAN FRANCISCO,RIGHT OF WAY,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre22,1,61042
61043,,SAN FRANCISCO,TREASURE ISLAND/YERBA BUENA ISLAND REDEVELOPMENT AREA,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre22,3,61043
61161,,MENLO PARK,MEDIUM DENSITY RESIDENTIAL,,,18.5,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Pre22,2,61161
61167,,MENLO PARK,VERY LOW DENSITY RESIDENTIAL,,,2.9,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre22,1,61167
61175,,MILLBRAE,SPECIFIC PLAN,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x99x,1,61175
61210,,REDWOOD CITY,INTERMEDIATE COMMERCIAL/OFFICE,,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1,x/x/x99,1,61210
61212,,REDWOOD CITY,LOW DENSITY RESIDENTIAL,,28.0,4.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,x/x/x99,4,61212
61230,,SAN BRUNO,REGIONAL COMMUNITY/OFFICE COMMERCIAL,1.2,50.0,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1,6/x/x984,1,61230
61237,,SAN CARLOS,MULTIPLE FAMILY-LOW DENSITY,0.75,35.0,20.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,x992,1,61237
61244,,SAN CARLOS,SINGLE FAMILY,,28.0,6.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,x992,1,61244
61245,,SAN CARLOS,SINGLE FAMILY-LOW DENSITY,,28.0,3.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,x992,1,61245
61258,,SAN MATEO,PARKS/OPEN SPACE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre22,3,61258
61262,,SAN MATEO,SINGLE FAMILY RESIDENTIAL,,24.0,9.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre22,6,61262
61313,,UNINCORPORATED SAN MATEO,AGRICULTURE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,xx/x/x986,7,61313
61316,,UNINCORPORATED SAN MATEO,COMMERCIAL/FUTURE STUDY,,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1,xx/x/x986,7,61316
61319,,UNINCORPORATED SAN MATEO,GENERAL OPEN SPACE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,xx/x/x986,1,61319
61324,,UNINCORPORATED SAN MATEO,LOW DENSITY RESIDENTIAL,,,1.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,xx/x/x986,34,61324
61325,,UNINCORPORATED SAN MATEO,MEDIUM DENSITY RESIDENTIAL,,,20.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,xx/x/x986,3,61325
61327,,UNINCORPORATED SAN MATEO,MEDIUM LOW DENSITY RESIDENTIAL,,,15.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,xx/x/x986,20,61327
61331,,UNINCORPORATED SAN MATEO,PUBLIC RECREATION,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,xx/x/x986,6,61331
61355,,CUPERTINO,COMMERCIAL/RESIDENTIAL,,,20.0,,1,1,1,1,1,1,0,0,0,1,1,1,1,1,6/x/x993,21,61355
61363,,CUPERTINO,PUBLIC OPEN SPACE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/x/x993,1,61363
61364,,CUPERTINO,QUASI-PUBLIC/INSTITUTIONAL,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6/x/x993,2,61364
61369,,CUPERTINO,RESIDENTIAL LOW: 1 - 5 D.U./GR. AC.,,18.0,5.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6/x/x993,403,61369
61370,,CUPERTINO,RESIDENTIAL MEDIUM/HIGH: 10 - 20 D.U./GR. AC.,,28.0,20.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6/x/x993,14,61370
61371,,CUPERTINO,RESIDENTIAL MEDIUM/LOW: 5 - 10 D.U./GR. AC.,,28.0,10.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6/x/x993,6,61371
61372,,CUPERTINO,RESIDENTIAL VERY LOW: FOOTHILL 5-20 ACRE S/D FORMULA,,18.0,0.2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6/x/x993,1,61372
61373,,CUPERTINO,RESIDENTIAL VERY LOW: FOOTHILL MODIFIED 1/2 ACRE S/D FORMULA,,18.0,0.5,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6/x/x993,1,61373
61374,,CUPERTINO,RESIDENTIAL VERY LOW: FOOTHILL MODIFIED S/D FORMULA,,,0.2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6/x/x993,24,61374
61390,,GILROY,RES-NEIGHBORHOOD DISTRICT,,,12.5,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,x/x/x999,2,61390
61437,,MILPITAS,PARKS/RECREATION,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre22,1,61437
61441,,MILPITAS,SINGLE FAMILY LOW DENSITY RESIDENTIAL,,,5.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre22,1,61441
61487,,PALO ALTO,MIXED USE/COORDINATED AREA PLAN (CAP),,,40.0,,1,1,1,1,1,1,0,0,0,1,1,1,1,1,7/x/x998,6,61487
61500,,PALO ALTO,TRANSIT-ORIENTED RESIDENTIAL,,,50.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7/x/x998,684,61500
61506,,SAN JOSE,COMBINED INDUSTRIAL/COMMERCIAL WITH LIVE/WORK OVERLAY,3.0,,25.0,,1,1,1,1,0,1,1,1,0,1,1,0,1,1,Post22,1,61506
61511,,SAN JOSE,CORE AREA,3.0,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1,Post22,2,61511
61514,,SAN JOSE,GENERAL COMMERCIAL,3.0,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1,Post22,24,61514
61517,,SAN JOSE,HIGH DENSITY RESIDENTIAL (25-50 DU/AC),,,50.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Post22,7,61517
61519,,SAN JOSE,INDUSTRIAL CORE AREA,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Post22,1,61519
61521,,SAN JOSE,INDUSTRIAL PARK WITH MIXED INDUSTRIAL OVERLAY,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Post22,1,61521
61525,,SAN JOSE,MEDIUM DENSITY RESIDENTIAL (8-16 DU/AC),,,14.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Post22,9,61525
61526,,SAN JOSE,MEDIUM HIGH DENSITY RESIDENTIAL (12-25 DU/AC),,,22.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Post22,16,61526
61528,,SAN JOSE,MEDIUM LOW DENSITY RESIDENTIAL (8.0 DU/AC),,,6.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Post22,178,61528
61529,,SAN JOSE,MIXED USE,,,25.0,,1,1,1,1,1,1,0,0,0,1,1,1,1,1,Post22,1,61529
61532,,SAN JOSE,NO UNDERLYING DESIGNATION,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Post22,1,61532
61533,,SAN JOSE,NON-URBAN HILLSIDE,,,0.05,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Post22,1,61533
61534,,SAN JOSE,OFFICE,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,1,Post22,12,61534
61543,,SAN JOSE,PUBLIC PARK AND OPEN SPACE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Post22,4,61543
61548,,SAN JOSE,RESIDENTIAL SUPPORT FOR THE CORE AREA (25+ DU/AC)/GENERAL COMMERCIAL,,,30.0,,0,1,1,1,1,1,0,0,0,1,1,1,1,1,Post22,2,61548
61552,,SAN JOSE,TRANSIT CORRIDOR MIXED USE (40-100 DU/AC),,,95.0,,0,1,1,1,0,1,1,1,0,1,1,0,1,1,Post22,1,61552
61553,,SAN JOSE,TRANSIT CORRIDOR RESIDENTIAL (12+ DU/AC),,,15.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Post22,1,61553
61556,,SAN JOSE,URBAN HILLSIDE,,,0.5,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Post22,3,61556
61558,,SAN JOSE,VERY LOW DENSITY RESIDENTIAL (2.0 DU/AC),,,2.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Post22,2,61558
61559,,SAN JOSE,VICTORIAN PRESERVATION/MIXED USE,,,10.0,,1,1,1,1,1,1,0,0,0,1,1,1,1,1,Post22,1,61559
61580,,SANTA CLARA,THOROUGHFARE COMMERCIAL,,,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1,Post22,181,61580
61626,,UNINCORPORATED SANTA CLARA,HILLSIDE RESIDENTIAL,,,0.05,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre22,3,61626
61628,,UNINCORPORATED SANTA CLARA,LOW DENSITY RESIDENTIAL,,,0.01,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre22,2,61628
61860,,PETALUMA,MIXED USE,2.5,40.0,30.0,,0,0,1,1,1,1,0,0,0,1,1,1,1,1,7/6/2x5,2,61860
61874,,PETALUMA,URBAN DIVERSIFIED  (5.0 - 10.0 DU/AC),,34.0,10.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7/6/2x5,11,61874
61875,,PETALUMA,URBAN HIGH  (10.1 - 15.0 DU/AC),,45.0,15.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7/6/2x5,2,61875
61877,,PETALUMA,URBAN STANDARD  (2.1 - 5.0 DU/AC),,25.0,5.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7/6/2x5,3,61877
61879,,ROHNERT PARK,HIGH DENSITY RESIDENTIAL (12-30 UN/AC),,45.0,30.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7/6/2x5,1,61879
61880,,ROHNERT PARK,INDUSTRIAL,1.0,45.0,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Pre22,1,61880
61881,,ROHNERT PARK,LOW DENSITY RESIDENTIAL (4-6 UN/AC),,35.0,6.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre22,58,61881
61882,,ROHNERT PARK,MEDIUM DENSITY RESIDENTIAL (6-12 UN/AC),,35.0,12.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Pre22,2,61882
61885,,ROHNERT PARK,OFFICE,1.0,45.0,,,0,0,0,1,0,0,0,0,0,0,0,0,1,1,Pre22,1,61885
61888,,ROHNERT PARK,PUBLIC/INSTITUTIONAL,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Pre22,1,61888
61889,,ROHNERT PARK,REGIONAL COMMERCIAL,1.5,65.0,,,0,0,0,1,1,1,0,0,0,1,1,0,1,1,Pre22,1,61889
61897,,SANTA ROSA,LOW DENSITY RESIDENTIAL,,35.0,8.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre22,14,61897
61900,,SANTA ROSA,MEDIUM-LOW DENSITY RESIDENTIAL,,35.0,13.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre22,1,61900
61901,,SANTA ROSA,MEDIUM DENSITY RESIDENTIAL,,35.0,18.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Pre22,3,61901
61908,,SANTA ROSA,PRIVATE ROAD,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre22,18,61908
61912,,SANTA ROSA,RETAIL/MEDIUM DENSITY RESIDENTIAL,3.0,95.0,18.0,,0,1,1,1,1,1,0,0,0,1,1,1,1,1,Pre22,2,61912
61913,,SANTA ROSA,VERY LOW DENSITY RESIDENTIAL,,35.0,2.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre22,10,61913
61958,,UNINCORPORATED SONOMA,DIVERSE AGRICULTURE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Post22,3,61958
61961,,UNINCORPORATED SONOMA,LAND EXTENSIVE AGRICULTURE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Post22,1,61961
61962,,UNINCORPORATED SONOMA,LAND INTENSIVE AGRICULTURE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Post22,6,61962
61968,,UNINCORPORATED SONOMA,RESOURCES AND RURAL DEVELOPMENT,,,0.05,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Post22,9,61968
61970,,UNINCORPORATED SONOMA,RURAL RESIDENTIAL,,,0.05,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Post22,98,61970
99017,40.0,CUPERTINO,SEP-18,0.45,28.0,0.202604651,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,99017
99999,,NODEV,NODEV,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NODEV,56798,99999
