"county_id","land_use_type_id","development_type_id","description"
"085","MBOW",,"Bowling Alley"
"085","MCLU","OF","Clubs, Fraternal Organizations"
"085","MCMN",,"Communications"
"085","MGOL",,"Golf Course"
"085","MGOV","GV","Governmental, Public"
"085","MMAR",,"Marina"
"085","MMSC",,"Miscellaneous"
"085","MNAT","VA","Natural Resource Rights"
"085","MREC","RC","Recreational"
"085","MREL","OF","Religious"
"085","MROA","VP","Roadways"
"085","MSCH","SC","School"
"085","MTHE",,"Theaters"
"085","MTRA","IL","Transportation, Air, Rail, Bus"
"085","MUTI","IL","Utilities"
"085","RAPT","HM","Multifamily Residence (5+ Units)"
"085","RCON","HT","Condomnium, PUD"
"085","RCOO",,"Cooperative"
"085","RDUP","HT","Duplex"
"085","RMFD","HM","Multifamily Dwelling (2-4 Units)"
"085","RMOB","HS","Mobile Home"
"085","RMSC","HS","Residential Miscellaneous"
"085","RQUA",,"Quadruplex"
"085","RSFR","HS","Single Family Residence"
"085","RTIM",,"Timeshare"
"085","RTRI",,"Triplex"
"085","VAGR",,"Agricultural / Rural"
"085","VCOM",,"Commercial"
"085","VIND","VA","Industrial Vacant"
"085","VMSC","VA","Vacant-Miscellaneous"
"085","VREC",,"Recreational"
"085","VRES",,"Residential"
"085","VWAS","VA","Vacant-Waste Land/Marshes"
"095","1000","HS",
"095","1100","VT",
"095","1500","HT",
"095","2000","VT",
"095","2100","HM",
"095","2700","HS",
"095","3000","VT",
"095","3100","REC","MARINA"
"095","3400","RS",
"095","3500","RS",
"095","3800","HO",
"095","4000","VT",
"095","4400","IL","MANUF AND WARE"
"095","5000","VAC",
"095","6100","VAC",
"095","6400","VAC",
"095","8100","OF","CHURCH"
"095","8200","SC",
"095","8300","OF","HOSPITALS"
"095","8400","VAC","CEMETARIES"
"095","8500","OF","CULTURAL"
"095","8700","OF","CLUBS AND LODGES"
"095","9700","VAC","LOW TAX"
"095","9800","GV","GOV"
